r,g,b
0,0.44982699,1
0,0.467128028,1
0,0.484429066,1
0,0.501730104,1
0,0.519031142,1
0,0.53633218,1
0,0.553633218,1
0,0.570934256,1
0,0.588235294,1
0,0.588235294,1
0,0.588235294,1
0.029411765,0.600346021,1
0.058823529,0.612456747,1
0.088235294,0.624567474,1
0.117647059,0.636678201,1
0.147058824,0.648788927,1
0.176470588,0.660899654,1
0.205882353,0.673010381,1
0.235294118,0.685121107,1
0.264705882,0.697231834,1
0.294117647,0.709342561,1
0.323529412,0.721453287,1
0.352941176,0.733564014,1
0.382352941,0.74567474,1
0.411764706,0.757785467,1
0.441176471,0.769896194,1
0.470588235,0.78200692,1
0.5,0.794117647,1
0.529411765,0.806228374,1
0.558823529,0.8183391,1
0.588235294,0.830449827,1
0.617647059,0.842560554,1
0.647058824,0.85467128,1
0.676470588,0.866782007,1
0.705882353,0.878892734,1
0.735294118,0.89100346,1
0.764705882,0.903114187,1
0.794117647,0.915224913,1
0.823529412,0.92733564,1
0.852941176,0.939446367,1
0.882352941,0.951557093,1
0.911764706,0.96366782,1
0.941176471,0.975778547,1
0.970588235,0.987889273,1
1,1,1
1,1,1
1,1,1
0.999307958,0.986620531,0.996539792
0.998615917,0.973241061,0.993079585
0.997923875,0.959861592,0.989619377
0.997231834,0.946482122,0.98615917
0.996539792,0.933102653,0.982698962
0.995847751,0.919723183,0.979238754
0.995155709,0.906343714,0.975778547
0.994463668,0.892964245,0.972318339
0.993771626,0.879584775,0.968858131
0.993079585,0.866205306,0.965397924
0.992387543,0.852825836,0.961937716
0.991695502,0.839446367,0.958477509
0.99100346,0.826066897,0.955017301
0.990311419,0.812687428,0.951557093
0.989619377,0.799307958,0.948096886
0.988927336,0.785928489,0.944636678
0.988235294,0.77254902,0.941176471
0.987543253,0.75916955,0.937716263
0.986851211,0.745790081,0.934256055
0.98615917,0.732410611,0.930795848
0.985467128,0.719031142,0.92733564
0.984775087,0.705651672,0.923875433
0.984083045,0.692272203,0.920415225
0.983391003,0.678892734,0.916955017
0.982698962,0.665513264,0.91349481
0.98200692,0.652133795,0.910034602
0.981314879,0.638754325,0.906574394
0.980622837,0.625374856,0.903114187
0.979930796,0.611995386,0.899653979
0.979238754,0.598615917,0.896193772
0.978546713,0.585236448,0.892733564
0.977854671,0.571856978,0.889273356
0.97716263,0.558477509,0.885813149
0.976470588,0.545098039,0.882352941
0.976470588,0.545098039,0.882352941
0.976470588,0.545098039,0.882352941
0.974971165,0.529065744,0.880968858
0.973471742,0.513033449,0.879584775
0.971972318,0.497001153,0.878200692
0.970472895,0.480968858,0.876816609
0.968973472,0.464936563,0.875432526
0.967474048,0.448904268,0.874048443
0.965974625,0.432871972,0.87266436
0.964475202,0.416839677,0.871280277
0.962975779,0.400807382,0.869896194
0.961476355,0.384775087,0.868512111
0.959976932,0.368742791,0.867128028
0.958477509,0.352710496,0.865743945
0.956978085,0.336678201,0.864359862
0.955478662,0.320645905,0.862975779
0.953979239,0.30461361,0.861591696
0.952479815,0.288581315,0.860207612
0.950980392,0.27254902,0.858823529
0.949480969,0.256516724,0.857439446
0.947981546,0.240484429,0.856055363
0.946482122,0.224452134,0.85467128
0.944982699,0.208419839,0.853287197
0.943483276,0.192387543,0.851903114
0.941983852,0.176355248,0.850519031
0.940484429,0.160322953,0.849134948
0.938985006,0.144290657,0.847750865
0.937485582,0.128258362,0.846366782
0.935986159,0.112226067,0.844982699
0.934486736,0.096193772,0.843598616
0.932987313,0.080161476,0.842214533
0.931487889,0.064129181,0.84083045
0.929988466,0.048096886,0.839446367
0.928489043,0.032064591,0.838062284
0.926989619,0.016032295,0.836678201
0.925490196,0,0.835294118
0.925490196,0,0.835294118
0.925490196,0,0.835294118
0.927681661,0,0.810726644
0.929873126,0,0.78615917
0.932064591,0,0.761591696
0.934256055,0,0.737024221
0.93644752,0,0.712456747
0.938638985,0,0.687889273
0.94083045,0,0.663321799
0.943021915,0,0.638754325
0.945213379,0,0.614186851
0.947404844,0,0.589619377
0.949596309,0,0.565051903
0.951787774,0,0.540484429
0.953979239,0,0.515916955
0.956170704,0,0.491349481
0.958362168,0,0.466782007
0.960553633,0,0.442214533
0.962745098,0,0.417647059
